customer_id,customer_name,country_code,billing_currency,signup_date,is_test_account,account_status
CUST001,Customer 001,SG,USD,2025-02-02,false,active
CUST002,Customer 002,AU,USD,2025-03-03,false,active
CUST003,Customer 003,US,EUR,2025-04-04,false,active
CUST004,Customer 004,GB,GBP,2025-05-05,false,active
CUST005,Customer 005,ID,USD,2025-06-06,false,active
CUST006,Customer 006,SG,USD,2025-07-07,false,active
CUST007,Customer 007,AU,USD,2025-08-08,true,active
CUST008,Customer 008,US,EUR,2025-09-09,false,active
CUST009,Customer 009,GB,GBP,2025-10-10,false,active
CUST010,Customer 010,ID,USD,2025-11-11,false,active
CUST011,Customer 011,SG,USD,2025-12-12,false,active
CUST012,Customer 012,AU,USD,2025-01-13,false,active
CUST013,Customer 013,US,EUR,2025-02-14,false,active
CUST014,Customer 014,GB,GBP,2025-03-15,false,active
CUST015,Customer 015,ID,USD,2025-04-16,false,active
CUST016,Customer 016,SG,USD,2025-05-17,false,active
CUST017,Customer 017,AU,USD,2025-06-18,false,churned
CUST018,Customer 018,US,EUR,2025-07-19,false,active
CUST019,Customer 019,GB,GBP,2025-08-20,true,active
CUST020,Customer 020,ID,USD,2025-09-21,false,active
CUST021,Customer 021,SG,USD,2025-10-22,false,active
CUST022,Customer 022,AU,USD,2025-11-23,false,active
CUST023,Customer 023,US,EUR,2025-12-24,false,active
CUST024,Customer 024,GB,GBP,2025-01-01,false,active
CUST025,Customer 025,ID,USD,2025-02-02,false,active
CUST026,Customer 026,SG,USD,2025-03-03,false,active
CUST027,Customer 027,AU,USD,2025-04-04,false,active
CUST028,Customer 028,US,EUR,2025-05-05,false,active
CUST029,Customer 029,GB,GBP,2025-06-06,false,active
CUST030,Customer 030,ID,USD,2025-07-07,false,active
CUST031,Customer 031,SG,USD,2025-08-08,false,active
CUST032,Customer 032,AU,USD,2025-09-09,false,active
CUST033,Customer 033,US,EUR,2025-10-10,false,active
CUST034,Customer 034,GB,GBP,2025-11-11,false,churned
CUST035,Customer 035,ID,USD,2025-12-12,false,active
CUST036,Customer 036,SG,USD,2025-01-13,false,active
CUST037,Customer 037,AU,USD,2025-02-14,false,active
CUST038,Customer 038,US,EUR,2025-03-15,false,active
CUST039,Customer 039,GB,GBP,2025-04-16,false,active
CUST040,Customer 040,ID,USD,2025-05-17,false,active
CUST041,Customer 041,SG,USD,2025-06-18,false,active
CUST042,Customer 042,AU,USD,2025-07-19,false,active
CUST043,Customer 043,US,EUR,2025-08-20,true,active
CUST044,Customer 044,GB,GBP,2025-09-21,false,active
CUST045,Customer 045,ID,USD,2025-10-22,false,active
CUST046,Customer 046,SG,USD,2025-11-23,false,active
CUST047,Customer 047,AU,USD,2025-12-24,false,active
CUST048,Customer 048,US,EUR,2025-01-01,false,active
CUST049,Customer 049,GB,GBP,2025-02-02,false,active
CUST050,Customer 050,ID,USD,2025-03-03,false,active
CUST051,Customer 051,SG,USD,2025-04-04,false,churned
CUST052,Customer 052,AU,USD,2025-05-05,false,active
CUST053,Customer 053,US,EUR,2025-06-06,false,active
CUST054,Customer 054,GB,GBP,2025-07-07,false,active
CUST055,Customer 055,ID,USD,2025-08-08,false,active
CUST056,Customer 056,SG,USD,2025-09-09,false,active
CUST057,Customer 057,AU,USD,2025-10-10,false,active
CUST058,Customer 058,US,EUR,2025-11-11,false,active
CUST059,Customer 059,GB,GBP,2025-12-12,false,active
CUST060,Customer 060,ID,USD,2025-01-13,false,active
CUST061,Customer 061,SG,USD,2025-02-14,false,active
CUST062,Customer 062,AU,USD,2025-03-15,false,active
CUST063,Customer 063,US,EUR,2025-04-16,false,active
CUST064,Customer 064,GB,GBP,2025-05-17,false,active
CUST065,Customer 065,ID,USD,2025-06-18,false,active
CUST066,Customer 066,SG,USD,2025-07-19,false,active
CUST067,Customer 067,AU,USD,2025-08-20,false,active
CUST068,Customer 068,US,EUR,2025-09-21,true,churned
CUST069,Customer 069,GB,GBP,2025-10-22,false,active
CUST070,Customer 070,ID,USD,2025-11-23,false,active
CUST071,Customer 071,SG,USD,2025-12-24,false,active
CUST072,Customer 072,AU,USD,2025-01-01,false,active
CUST073,Customer 073,US,EUR,2025-02-02,false,active
CUST074,Customer 074,GB,GBP,2025-03-03,false,active
CUST075,Customer 075,ID,USD,2025-04-04,false,active
CUST076,Customer 076,SG,USD,2025-05-05,false,active
CUST077,Customer 077,AU,USD,2025-06-06,false,active
CUST078,Customer 078,US,EUR,2025-07-07,false,active
CUST079,Customer 079,GB,GBP,2025-08-08,false,active
CUST080,Customer 080,ID,USD,2025-09-09,false,active
